State,Year,Population,Drivers,Vehicles
Massachusetts,2017,6863560,4935176,5065221
Michigan,2017,9976752,7095778,8518097
Minnesota,2017,5569283,3394815,5682653
Mississippi,2017,2990674,2053924,2057476
Missouri,2017,6111382,4274784,5568736
Montana,2017,1053862,807259,1863918
Nebraska,2017,1916998,1404479,1965105
Nevada,2017,2972097,1918305,2455442
New Hampshire,2017,1350395,1103624,1319117
New Jersey,2017,8888147,6301363,6057711
New Mexico,2017,2092844,1473262,1740002
New York,2017,19593849,12185313,10857455
North Carolina,2017,10275758,7389467,8070717
North Dakota,2017,756755,561667,1056758
Ohio,2017,11665706,8011705,10809247
Oklahoma,2017,3933602,2505989,3744178
Oregon,2017,4147294,2910592,4103451
Pennsylvania,2017,12794679,8964855,10689206
Rhode Island,2017,1056554,753202,872814
South Carolina,2017,5027102,3810962,4404100
South Dakota,2017,873732,628506,1258356
Tennessee,2017,6714748,5377653,5800489
Texas,2017,28291024,17099340,22130765
Utah,2017,3103540,1995377,2355773
Vermont,2017,625132,560247,621608
Virginia,2017,8471011,5926430,7514484
Washington,2017,7427951,5768281,7256196
West Virginia,2017,1818683,1148786,1691237
Wisconsin,2017,5793147,4234793,5596635
Wyoming,2017,579994,422465,819257
Alabama,2018,4891628,3999057,5300199
Alaska,2018,736624,536033,803684
Arizona,2018,7164228,5284970,5806313
Arkansas,2018,3012161,2145334,2817145
California,2018,39437463,27039400,31022328
Colorado,2018,5697155,4244713,5356018
Connecticut,2018,3574561,2605612,2879802
Delaware,2018,966985,786504,1008468
District of Columbia,2018,704147,527731,351933
Florida,2018,21254926,15368695,17496002
Georgia,2018,10519389,7168733,8512550
Hawaii,2018,1423102,948417,1267385
Idaho,2018,1752074,1252535,1879670
Illinois,2018,12724685,8714788,10588910
Indiana,2018,6698481,4589405,6190736
Iowa,2018,3149900,2260271,3691892
Kansas,2018,2912748,2149430,2684010
Kentucky,2018,4464273,3032530,4368285
Louisiana,2018,4664450,3425435,3885119
Maine,2018,1340123,1040582,1125588
Maryland,2018,6042153,4407973,4204846
Massachusetts,2018,6885720,4935176,5061499
Michigan,2018,9987286,7153645,8386831
Minnesota,2018,5608762,3391057,5404277
Mississippi,2018,2982879,2058036,2067498
Missouri,2018,6125986,4272960,5498675
Montana,2018,1061818,806204,1845338
Nebraska,2018,1925512,1420317,1961309
Nevada,2018,3030725,1983453,2514338
New Hampshire,2018,1355064,1161665,1346318
New Jersey,2018,8891730,6342876,6055389
New Mexico,2018,2093754,1458433,1824217
New York,2018,19544098,12194360,11482229
North Carolina,2018,10391358,7509231,8210213
North Dakota,2018,760062,561333,899953
Ohio,2018,11680892,8032665,10913773
Oklahoma,2018,3943488,2504253,3699022
Oregon,2018,4183538,2930702,3942875
Pennsylvania,2018,12809107,8991370,10727715
Rhode Island,2018,1059338,756966,872344
South Carolina,2018,5091702,3846069,4457519
South Dakota,2018,879386,638428,1269415
Tennessee,2018,6778180,5422429,5770874
Texas,2018,28624564,17370383,22186241
Utah,2018,3155153,2030644,2372800
Vermont,2018,624802,564892,619694
Virginia,2018,8510920,5929031,7604646
Washington,2018,7526793,5909967,7152413
West Virginia,2018,1805953,1136775,1693719
Wisconsin,2018,5809319,4288171,5683061
Wyoming,2018,579054,419256,837024
Alabama,2019,4907965,4026151,5288208
Alaska,2019,733603,529281,795275
Arizona,2019,7291843,5369210,5982559
Arkansas,2019,3020985,2153929,2902111
California,2019,39437610,27213650,31247270
Colorado,2019,5758486,4235384,5412404
Connecticut,2019,3566022,2608061,2878548
Delaware,2019,976668,812529,1016927
District of Columbia,2019,708253,535579,350463
Florida,2019,21492056,15560628,17833720
Georgia,2019,10628020,7261266,8594567
Hawaii,2019,1415615,943173,1272361
Idaho,2019,1789060,1252535,1954528
Illinois,2019,12667017,8546932,10691947
Indiana,2019,6731010,4589405,6223460
Iowa,2019,3159596,2274431,3786328
Kansas,2019,2912635,2154260,2682337
Kentucky,2019,4472345,3030329,4383223
Louisiana,2019,4658285,3435168,3802746
Maine,2019,1345770,1046129,1130056
Maryland,2019,6054954,4463862,4203994
Massachusetts,2019,6894883,4950056,5061260
Michigan,2019,9984795,7141494,8440065
Minnesota,2019,5640053,3391057,5425885
Mississippi,2019,2978227,2058036,2066681
Missouri,2019,6140475,4274389,5534289
Montana,2019,1070123,811851,1900806
Nebraska,2019,1932571,1430818,1968479
Nevada,2019,3090771,2054421,2546583
New Hampshire,2019,1360783,1195211,1363379
New Jersey,2019,8891258,6377413,6033015
New Mexico,2019,2099634,1449711,1825421
New York,2019,19463131,12194360,11389158
North Carolina,2019,10501384,7620001,8527388
North Dakota,2019,763724,556064,903668
Ohio,2019,11696507,8032792,10901279
Oklahoma,2019,3960676,2522670,3706624
Oregon,2019,4216116,2930701,3919157
Pennsylvania,2019,12798883,8987676,10800315
Rhode Island,2019,1058158,761046,868942
South Carolina,2019,5157702,3877968,4516143
South Dakota,2019,887127,638428,1280969
Tennessee,2019,6830325,5422429,5817887
Texas,2019,28986794,17822760,23007146
Utah,2019,3203383,2121099,2430275
Vermont,2019,624046,564894,620428
Virginia,2019,8556642,5888196,7647692
Washington,2019,7614024,5711136,7377028
West Virginia,2019,1795263,1130389,1668113
Wisconsin,2019,5824581,4296646,5666400
Wyoming,2019,580116,424115,843671
Alabama,2020,4921532,,
Alaska,2020,731158,,
Arizona,2020,7421401,,
Arkansas,2020,3030522,,
California,2020,39368078,,
Colorado,2020,5807719,,
Connecticut,2020,3557006,,
Delaware,2020,986809,,
District of Columbia,2020,712816,,
Florida,2020,21733312,,
Georgia,2020,10710017,,
Hawaii,2020,1407006,,
Idaho,2020,1826913,,
Illinois,2020,12587530,,
Indiana,2020,6754953,,
Iowa,2020,3163561,,
Kansas,2020,2913805,,
Kentucky,2020,4477251,,
Louisiana,2020,4645318,,
Maine,2020,1350141,,
Maryland,2020,6055802,,
Massachusetts,2020,6893574,,
Michigan,2020,9966555,,
Minnesota,2020,5657342,,
Mississippi,2020,2966786,,
Missouri,2020,6151548,,
Montana,2020,1080577,,
Nebraska,2020,1937552,,
Nevada,2020,3138259,,
New Hampshire,2020,1366275,,
New Jersey,2020,8882371,,
New Mexico,2020,2106319,,
New York,2020,19336776,,
North Carolina,2020,10600823,,
North Dakota,2020,765309,,
Ohio,2020,11693217,,
Oklahoma,2020,3980783,,
Oregon,2020,4241507,,
Pennsylvania,2020,12783254,,
Rhode Island,2020,1057125,,
South Carolina,2020,5218040,,
South Dakota,2020,892717,,
Tennessee,2020,6886834,,
Texas,2020,29360759,,
Utah,2020,3249879,,
Vermont,2020,623347,,
Virginia,2020,8590563,,
Washington,2020,7693612,,
West Virginia,2020,1784787,,
Wisconsin,2020,5832655,,
Wyoming,2020,582328,,
